date,myor,aggregate_volume
2024-09-26,3.01,20184.1
2024-09-27,3.01,17039.89
2024-09-30,3.0,20058.34
2024-10-01,3.0,19678.42
2024-10-02,3.0,19456.75
2024-10-03,3.0,21040.46
2024-10-04,3.0,20997.77
2024-10-07,3.0,19111.39
2024-10-08,3.0,20498.02
2024-10-09,3.0,21952.8
2024-10-10,3.0,21353.17
2024-10-11,3.0,20724.99
2024-10-14,3.01,15615.94
2024-10-15,3.0,16893.17
2024-10-16,3.0,15681.93
2024-10-17,3.0,16899.6
2024-10-18,3.0,18886.6
2024-10-21,3.0,18983.1
2024-10-22,3.0,20050.75
2024-10-23,3.0,19771.39
2024-10-24,3.0,20079.55
2024-10-25,3.0,22383.45
2024-10-28,3.0,24517.39
2024-10-29,3.0,22823.91
2024-10-30,3.0,24615.01
2024-11-01,3.0,23281.73
2024-11-04,3.0,20584.06
2024-11-05,3.0,19334.68
2024-11-06,3.0,20290.93
2024-11-07,3.0,22914.33
2024-11-08,3.0,23178.26
2024-11-11,3.0,22249.91
2024-11-12,3.0,23190.27
2024-11-13,3.0,22141.04
2024-11-14,3.0,20723.97
2024-11-15,3.0,22428.65
2024-11-18,3.0,22731.29
2024-11-19,3.0,21299.95
2024-11-20,3.0,18452.87
2024-11-21,3.0,19590.36
2024-11-22,3.0,21649.94
2024-11-25,3.0,19966.94
2024-11-26,3.0,20807.22
2024-11-27,3.0,23127.18
2024-11-28,3.0,25148.81
2024-11-29,3.0,27722.08
2024-12-02,3.0,28030.93
2024-12-03,3.0,26482.85
2024-12-04,3.0,29422.18
2024-12-05,3.0,33907.75
2024-12-06,3.0,30073.53
2024-12-09,3.0,28621.89
2024-12-10,3.0,28038.77
2024-12-11,3.0,27758.25
2024-12-12,3.0,27790.36
2024-12-13,3.0,27716.45
2024-12-16,3.01,29061.44
2024-12-17,3.01,29157.82
2024-12-18,3.01,27365.53
2024-12-19,3.01,29876.37
2024-12-20,3.01,29477.16
2024-12-23,3.01,30554.03
2024-12-24,3.01,25168.71
2024-12-26,3.01,21273.91
2024-12-27,3.0,24662.49
2024-12-30,3.0,24338.87
2024-12-31,3.0,32218.8
2025-01-02,3.0,34425.15
2025-01-03,3.0,31032.98
2025-01-06,3.0,29468.43
2025-01-07,3.0,27923.04
2025-01-08,3.0,28566.11
2025-01-09,3.0,31426.47
2025-01-10,3.0,30081.37
2025-01-13,3.0,27287.24
2025-01-14,3.0,24713.39
2025-01-15,3.0,24094.8
2025-01-16,3.0,19617.15
2025-01-17,3.0,25338.71
2025-01-20,3.0,21929.98
2025-01-21,3.0,23433.76
2025-01-22,3.0,21759.85
2025-01-23,3.0,19774.49
2025-01-24,3.0,19758.47
2025-01-27,3.0,19508.81
2025-01-28,3.0,19849.21
2025-01-31,3.0,22406.42
2025-02-03,3.0,20525.42
2025-02-04,3.0,19145.36
2025-02-05,3.0,17866.47
2025-02-06,3.0,18485.48
2025-02-07,3.0,18336.83
2025-02-10,3.0,21878.94
2025-02-12,3.0,20025.92
2025-02-13,3.0,22794.3
2025-02-14,3.0,21755.97
2025-02-17,3.0,21823.55
2025-02-18,3.0,20497.14
2025-02-19,3.0,23281.3
2025-02-20,3.0,26482.76
2025-02-21,3.01,22362.6
2025-02-24,3.01,25957.09
2025-02-25,3.01,26279.47
2025-02-26,3.01,25944.28
2025-02-27,3.01,28461.29
2025-02-28,3.0,29411.12
2025-03-03,3.0,31828.72
2025-03-04,3.0,33821.73
2025-03-05,3.0,34280.73
2025-03-06,3.0,33757.19
2025-03-07,3.0,31204.68
2025-03-10,3.0,28284.96
2025-03-11,3.0,27140.36
2025-03-12,3.0,26248.96
2025-03-13,3.0,25690.19
2025-03-14,3.0,23405.12
2025-03-17,3.0,23828.9
2025-03-19,3.01,21306.41
2025-03-20,3.0,23129.6
2025-03-21,3.0,24046.2
2025-03-24,3.0,23196.41
2025-03-25,3.0,23711.37
2025-03-26,3.0,25034.35
2025-03-27,3.0,27532.26
2025-03-28,3.0,27420.28
2025-04-02,3.0,22829.82
2025-04-03,3.0,26721.05
2025-04-04,3.0,24206.5
2025-04-07,3.0,24474.91
2025-04-08,3.0,22359.48
2025-04-09,3.0,22829.63
2025-04-10,3.0,24916.17
2025-04-11,3.0,22339.61
2025-04-14,3.0,21768.0
2025-04-15,3.0,23281.42
2025-04-16,3.0,24554.04
2025-04-17,3.0,21946.23
2025-04-18,3.0,23191.34
2025-04-21,3.0,22199.55
2025-04-22,3.0,20273.1
2025-04-23,3.0,25595.29
2025-04-24,3.0,25395.58
2025-04-25,3.0,24535.66
2025-04-28,3.0,26581.8
2025-04-29,3.0,28465.7
2025-04-30,3.01,29571.58
2025-05-02,3.01,26094.34
2025-05-05,3.0,27433.46
2025-05-06,3.0,26338.43
2025-05-07,3.0,25888.73
2025-05-08,3.0,27377.31
2025-05-09,3.0,26988.67
2025-05-13,3.0,22633.51
2025-05-14,3.0,24333.51
2025-05-15,3.0,21680.71
2025-05-16,3.0,28459.85
2025-05-19,3.0,27874.09
2025-05-20,3.0,23332.07
2025-05-21,3.0,26192.69
2025-05-22,3.0,28343.91
2025-05-23,3.0,28286.98
2025-05-26,3.0,27804.13
2025-05-27,3.0,28566.37
2025-05-28,3.0,29578.23
2025-05-29,3.0,30623.27
2025-05-30,3.0,32755.06
2025-06-03,3.0,27788.82
2025-06-04,3.0,28480.81
2025-06-05,3.0,26518.56
2025-06-06,3.0,26671.3
2025-06-09,3.0,27459.35
2025-06-10,3.0,30203.85
2025-06-11,3.0,29736.51
2025-06-12,3.0,30097.95
2025-06-13,3.0,27477.31
2025-06-16,3.0,24661.99
2025-06-17,3.0,26911.89
2025-06-18,3.0,25771.32
2025-06-19,3.0,21473.23
2025-06-20,3.0,23841.44
2025-06-23,3.0,27065.35
2025-06-24,3.0,25028.54
2025-06-25,3.0,26172.42
2025-06-26,3.0,23349.05
2025-06-30,3.0,26932.01
2025-07-01,3.0,27720.54
2025-07-02,3.0,28277.74
2025-07-03,3.0,30420.91
2025-07-04,3.0,31521.27
2025-07-07,3.0,35156.76
2025-07-08,3.0,36885.59
2025-07-09,2.77,32713.29
2025-07-10,2.75,33167.1
2025-07-11,2.75,37444.84
2025-07-14,2.75,36202.3
2025-07-15,2.75,34883.12
2025-07-16,2.75,29848.55
2025-07-17,2.75,32960.49
2025-07-18,2.75,32372.83
2025-07-21,2.75,29331.37
2025-07-22,2.75,30592.35
2025-07-23,2.75,31632.09
2025-07-24,2.75,29850.93
2025-07-25,2.75,34140.6
2025-07-28,2.75,31715.23
2025-07-29,2.75,32909.27
2025-07-30,2.75,30169.23
2025-07-31,2.75,33675.42
2025-08-01,2.75,29610.94
2025-08-04,2.75,26161.35
2025-08-05,2.75,27503.61
2025-08-06,2.75,27496.02
2025-08-07,2.75,28320.63
2025-08-08,2.75,29103.43
2025-08-11,2.75,26930.32
2025-08-12,2.75,27194.32
2025-08-13,2.75,25585.2
2025-08-14,2.75,26222.21
2025-08-15,2.75,28065.1
2025-08-18,2.75,27292.85
2025-08-19,2.75,23258.44
2025-08-20,2.75,26420.24
2025-08-21,2.75,22581.96
2025-08-22,2.75,27166.69
